cultivar,sample,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,plant_num,density_treatment,density_start,density_end
J,J1,265036.7948717949,0.1692404488485661,39,0.1625229378328783,1,0.75,0.7647058823529411,0.4117647058823529
J,J10,309740.90476190473,2.2053319318402362,42,0.02280815757424486,10,0.25,0.16666666666666666,0.1111111111111111
J,J11,296672.19444444444,0.11792748019239874,72,0.03919764132453943,11,0.75,0.7619047619047619,0.3333333333333333
J,J12,228871.38888888888,0.2523624123905601,36,NA,12,0,0,0
J,J13,248575.84615384616,0.7938703908320338,39,NA,13,1,1,0.13043478260869565
J,J14,269936.74,0.11598941778869894,50,0.008368988712326475,14,0.25,0.23809523809523808,0.047619047619047616
J,J15,271005.13157894736,0.061071050027524575,38,0.16155627493058838,15,1,1,0.14285714285714285
J,J16,253521.38775510204,0.2457366178730911,49,0.36632301798339767,16,1,1,0.4
J,J17,292132.26829268294,0.5314424072065345,41,0.0013732962543344662,17,0,0,0
J,J18,249389.0294117647,0.11633553003947804,34,0.23164631710578878,18,0.5,0.5263157894736842,0.10526315789473684
J,J19,247991.8918918919,0.10639129792533887,37,0.00935809566821889,19,0.5,0.5,0.1875
J,J2,295626.5882352941,0.1192838189441112,34,0.5618013004152994,2,0.25,0.1875,0
J,J20,246757.83783783784,0.10108897288823776,37,0.3075376290031641,20,0,0,0
J,J21,247096.50943396226,0.1340812476703629,53,0.12490399170786634,21,0,0,0.045454545454545456
J,J22,299204.5882352941,0.10323387385147621,51,0.0430248581383174,22,0.25,0.20833333333333334,0.08333333333333333
J,J23,296012.97222222225,8.609636723125009,36,0.26413088014360137,23,0.5,0.5,0.16666666666666666
J,J24,223639.9090909091,0.13649669363372166,44,0.015026296018031557,24,1,0.9375,0.1875
J,J3,260037.56818181818,2.0295319153938793,44,0.062027887058263724,3,0,0,0.05
J,J4,339624.45,2.86192535099387,40,0.036306235201262825,4,1,1,0.42857142857142855
J,J5,238921.3777777778,0.07439014025603832,45,0.022745098039215685,5,0.5,0.5294117647058824,0.17647058823529413
J,J6,281039.58695652173,0.07202144166896558,46,0.028567777051053626,6,0.25,0.2777777777777778,0.2777777777777778
J,J7,244209.97619047618,0.09176846931111465,42,0.009593104771462727,7,0.5,0.5,0.1875
J,J8,255167.43243243243,0.24815846910457678,37,0.19625466929439028,8,0.75,0.7058823529411765,0.11764705882352941
J,J9,267881.9347826087,0.03982436516607485,46,0.03486034075983093,9,0.75,0.7647058823529411,0.17647058823529413
L,L10,282345.9516129032,0.36314640003753956,62,NA,10,0.5,0.4,0.26666666666666666
L,L11,311273.037037037,0.3350125402557881,54,NA,11,0.75,0.75,0.25
L,L12,234578.3076923077,0.3554056415392103,13,NA,12,1,1,0.42105263157894735
L,L13,279905.75641025644,0.0984988697736452,78,0.20571804140650674,13,0,0,0
L,L14,219906.24,0.4705874698104429,50,NA,14,0.5,0.4375,0.375
L,L15,271823.6352941177,0.17570787697445014,85,0.16778860645031649,15,0.75,0.75,0.375
L,L16,307242.01470588235,0.1131688822848547,68,0.04695215029929266,16,0.25,0.3076923076923077,0.2692307692307692
L,L17,322029.5,0.4385706010673412,36,0.3815969221333185,17,1,1,0.46153846153846156
L,L19,271593.9298245614,0.16212102547397245,57,0.35743342688155333,19,0.25,0.2608695652173913,0.08695652173913043
L,L2,280598.5,0.29814689856767246,44,NA,2,0.75,0.75,0.3125
L,L20,263932.53731343284,0.3221483972087184,67,0.09474004129156667,20,0.75,0.7407407407407407,0.2962962962962963
L,L21,242560.09375,0.08506275502504015,64,0.0996168582375479,21,0,0,0
L,L3,287688.51470588235,0.12703763125575063,68,NA,3,0.5,0.3684210526315789,0
L,L4,237662.156626506,0.19768877409306956,83,NA,4,0,0,0
L,L5,213781.8125,0.2242128972334186,80,NA,5,0.25,0.26666666666666666,0.2
L,L6,303104.5294117647,0.2199591840479734,68,NA,6,0,0,0
L,L7,237387.0447761194,0.17833382989640345,67,NA,7,0,0,0
L,L8,183570.10714285713,0.4505134013452759,56,NA,8,1,1,0.30434782608695654
L,L9,222484.89655172414,0.5787646864652737,58,NA,9,0.25,0.17647058823529413,0
